labels,data
5/9/2021,0.12
3/18/2022,0.12
3/22/2022,0.12
11/16/2021,0.12
1/17/2022,0.12
4/27/2021,0.12
8/23/2021,0.12
12/16/2021,0.12
8/30/2021,0.12
1/28/2021,0.12
5/15/2021,0.12
6/20/2021,0.12
12/16/2020,0.12
3/7/2022,0.12
6/3/2021,0.12
9/25/2021,0.12
9/16/2021,0.12
8/21/2021,0.12
9/29/2021,0.12
1/26/2022,0.12
7/28/2021,0.12
3/15/2021,0.12
2/10/2022,0.12
10/15/2021,0.12
10/4/2021,0.12
3/29/2022,0.12
7/14/2021,0.12
1/11/2021,0.12
11/14/2021,0.12
8/3/2021,0.12
6/9/2021,0.12
6/2/2021,0.12
10/22/2021,0.12
10/25/2021,0.12
11/15/2021,0.12
4/19/2021,0.12
5/22/2021,0.12
10/26/2021,0.12
9/7/2021,0.12
6/14/2021,0.12
12/8/2020,0.12
1/6/2022,0.12
3/4/2022,0.12
12/28/2021,0.12
10/18/2021,0.12
9/8/2021,0.12
9/9/2021,0.12
1/7/2022,0.12
3/13/2022,0.12
8/24/2021,0.12
1/29/2021,0.12
9/14/2021,0.12
10/7/2021,0.12
4/8/2022,0.12
4/12/2021,0.12
11/1/2021,0.12
3/10/2021,0.12
8/16/2021,0.12
1/22/2021,0.12
3/12/2022,0.12
10/1/2021,0.12
1/11/2022,0.12
11/18/2021,0.12
6/18/2021,0.12
1/14/2021,0.12
12/15/2021,0.12
3/26/2021,0.12
12/27/2021,0.12
7/15/2021,0.12
9/10/2021,0.12
11/29/2021,0.12
2/25/2021,0.12
6/28/2021,0.12
12/2/2020,0.12
7/12/2021,0.12
10/21/2021,0.12
3/24/2021,0.12
2/9/2022,0.12
5/21/2021,0.12
8/5/2021,0.12
12/14/2021,0.12
3/11/2021,0.12
1/14/2022,0.12
1/4/2022,0.12
1/19/2022,0.12
3/1/2021,0.12
6/7/2021,0.12
9/3/2021,0.12
1/29/2022,0.12
12/29/2021,0.12
8/1/2021,0.12
8/14/2021,0.12
12/23/2020,0.12
12/1/2021,0.12
11/30/2020,0.12
7/13/2021,0.12
3/16/2021,0.12
2/15/2022,0.12
1/27/2022,0.12
3/27/2021,0.12
6/1/2021,0.12
2/25/2022,0.12
6/15/2021,0.12
2/27/2021,0.12
3/8/2022,0.12
4/17/2021,0.12
8/11/2021,0.12
1/13/2022,0.12
10/9/2021,0.12
6/11/2021,0.12
11/13/2021,0.12
6/5/2021,0.12
3/9/2021,0.12
10/19/2021,0.12
10/23/2021,0.12
1/31/2021,0.12
8/25/2021,0.12
12/11/2020,0.12
2/16/2022,0.12
12/12/2021,0.12
12/8/2021,0.12
9/15/2021,0.12
12/6/2021,0.12
11/28/2021,0.12
3/23/2022,0.12
6/17/2021,0.12
11/26/2021,0.12
11/6/2021,0.12
9/20/2021,0.12
10/12/2021,0.12
4/23/2021,0.12
1/15/2022,0.12
12/30/2020,0.12
3/5/2021,0.12
6/21/2021,0.12
2/21/2022,0.12
9/21/2021,0.12
7/19/2021,0.12
3/9/2022,0.12
5/26/2021,0.12
10/29/2021,0.12
3/17/2021,0.12
11/19/2021,0.12
9/24/2021,0.12
3/5/2022,0.12
2/23/2022,0.12
3/18/2021,0.12
11/10/2021,0.13
3/8/2022,0.13
3/23/2022,0.13
5/10/2021,0.13
8/30/2021,0.13
9/18/2021,0.13
11/8/2021,0.13
2/26/2021,0.13
7/30/2021,0.13
12/9/2021,0.13
7/12/2021,0.13
8/13/2021,0.13
3/11/2022,0.13
11/24/2021,0.13
7/7/2021,0.13
2/11/2022,0.13
12/22/2021,0.13
3/2/2021,0.13
12/12/2021,0.13
9/20/2021,0.13
12/10/2021,0.13
4/22/2021,0.13
12/14/2021,0.13
4/14/2021,0.13
9/13/2021,0.13
2/22/2021,0.13
6/20/2021,0.13
12/30/2021,0.13
12/29/2021,0.13
5/22/2021,0.13
12/11/2021,0.14
2/13/2021,0.14
1/25/2021,0.14
7/29/2021,0.14
12/19/2021,0.14
3/21/2022,0.14
10/20/2021,0.14
12/6/2021,0.14
1/29/2021,0.14
9/30/2021,0.14
4/12/2021,0.14
11/15/2021,0.14
8/31/2021,0.14
1/4/2022,0.14
2/10/2022,0.14
3/10/2022,0.14
11/9/2021,0.14
11/6/2021,0.14
3/11/2021,0.14
12/26/2021,0.14
1/14/2022,0.14
11/23/2021,0.14
1/20/2022,0.15
11/12/2021,0.15
7/8/2021,0.15
1/21/2022,0.15
10/20/2021,0.15
12/17/2021,0.15
6/26/2021,0.15
6/22/2021,0.15
11/11/2021,0.15
10/25/2021,0.15
3/3/2022,0.15
8/5/2021,0.15
11/13/2021,0.15
10/12/2021,0.15
1/15/2021,0.15
1/29/2021,0.15
7/31/2021,0.15
1/18/2022,0.15
8/30/2021,0.15
9/12/2021,0.15
2/10/2022,0.15
7/19/2021,0.15
12/8/2020,0.16
9/13/2021,0.16
9/20/2021,0.16
6/7/2021,0.16
5/21/2021,0.16
4/1/2022,0.16
1/11/2022,0.16
10/9/2021,0.16
3/11/2021,0.16
3/31/2022,0.16
3/9/2022,0.16
3/16/2022,0.16
8/1/2021,0.16
1/18/2022,0.16
3/23/2022,0.16
7/29/2021,0.16
12/11/2021,0.16
1/12/2021,0.16
11/25/2020,0.17
9/28/2021,0.17
8/20/2021,0.17
11/23/2021,0.17
11/9/2021,0.17
12/16/2021,0.17
2/15/2022,0.17
9/22/2021,0.17
10/4/2021,0.17
3/3/2021,0.17
1/8/2021,0.17
5/7/2021,0.17
2/22/2022,0.17
12/11/2021,0.17
10/18/2021,0.17
8/10/2021,0.17
10/29/2021,0.17
2/2/2022,0.17
10/20/2021,0.17
8/17/2021,0.18
5/24/2021,0.18
11/30/2021,0.18
7/15/2021,0.18
3/4/2021,0.18
1/7/2022,0.18
12/21/2021,0.18
2/9/2021,0.18
8/11/2021,0.18
10/1/2021,0.18
10/19/2021,0.18
8/27/2021,0.18
1/13/2022,0.18
2/19/2022,0.18
5/13/2021,0.18
9/14/2021,0.18
3/3/2022,0.18
12/6/2021,0.18
5/4/2021,0.18
12/18/2020,0.18
8/19/2021,0.18
2/14/2022,0.18
12/13/2021,0.18
6/29/2021,0.18
12/29/2021,0.18
12/23/2020,0.18
3/18/2022,0.18
5/11/2021,0.18
11/15/2021,0.18
10/27/2021,0.18
10/14/2021,0.18
11/22/2021,0.18
9/16/2021,0.18
11/16/2021,0.18
8/12/2021,0.18
11/3/2021,0.18
3/4/2022,0.18
8/25/2021,0.18
6/8/2021,0.18
6/23/2021,0.18
6/4/2021,0.18
11/17/2021,0.18
2/28/2022,0.18
7/27/2021,0.18
4/10/2021,0.18
1/19/2022,0.18
6/27/2021,0.18
7/29/2021,0.18
4/4/2022,0.18
9/20/2021,0.18
10/25/2021,0.18
2/22/2021,0.18
7/12/2021,0.18
2/17/2022,0.18
11/18/2021,0.18
3/8/2022,0.18
12/18/2021,0.18
1/4/2022,0.18
4/16/2021,0.18
10/28/2021,0.18
3/16/2022,0.18
11/11/2021,0.18
7/21/2021,0.18
1/20/2021,0.18
12/29/2020,0.18
12/8/2021,0.18
9/9/2021,0.18
1/11/2022,0.18
2/15/2022,0.18
2/8/2022,0.18
3/5/2021,0.18
2/23/2021,0.18
12/19/2021,0.18
5/28/2021,0.18
12/23/2021,0.18
3/1/2021,0.18
1/10/2022,0.18
5/21/2021,0.18
11/23/2021,0.18
11/20/2021,0.18
2/2/2022,0.18
8/26/2021,0.18
11/12/2020,0.18
3/25/2021,0.18
8/30/2021,0.18
12/2/2021,0.18
9/25/2021,0.18
7/10/2021,0.18
6/19/2021,0.18
5/12/2021,0.18
3/26/2021,0.18
4/1/2022,0.18
2/7/2022,0.18
6/1/2021,0.18
3/21/2022,0.18
9/1/2021,0.18
9/21/2021,0.18
1/16/2021,0.18
3/14/2022,0.18
10/12/2021,0.18
11/30/2020,0.18
10/13/2021,0.18
11/19/2021,0.18
5/6/2021,0.18
12/21/2020,0.18
7/7/2021,0.18
7/22/2021,0.18
2/23/2022,0.18
4/23/2021,0.18
9/18/2021,0.18
1/6/2022,0.18
4/25/2021,0.18
6/22/2021,0.18
3/2/2021,0.18
1/20/2022,0.18
3/1/2022,0.18
2/16/2022,0.18
10/22/2021,0.18
1/24/2022,0.18
11/8/2021,0.18
3/10/2022,0.18
3/22/2022,0.18
4/22/2021,0.18
12/1/2021,0.18
9/17/2021,0.18
12/24/2021,0.19
2/7/2022,0.19
9/20/2021,0.19
2/8/2021,0.19
1/19/2022,0.19
9/15/2021,0.19
11/5/2021,0.19
1/3/2022,0.19
1/23/2022,0.19
6/9/2021,0.19
3/18/2022,0.19
9/13/2021,0.19
12/9/2021,0.19
10/22/2021,0.19
3/10/2022,0.19
9/17/2021,0.19
1/11/2021,0.19
2/18/2022,0.19
11/12/2021,0.19
6/15/2021,0.19
3/2/2021,0.19
7/30/2021,0.19
12/13/2021,0.19
3/4/2021,0.19
2/23/2021,0.19
9/15/2021,0.2
3/24/2022,0.2
2/20/2022,0.2
3/22/2022,0.2
12/14/2021,0.2
8/27/2021,0.2
8/18/2021,0.2
12/9/2021,0.2
3/10/2022,0.2
4/9/2021,0.2
8/5/2021,0.2
3/16/2022,0.2
12/1/2021,0.2
1/22/2021,0.2
8/10/2021,0.2
7/29/2021,0.2
3/11/2021,0.2
1/15/2021,0.2
3/4/2022,0.2
7/30/2021,0.2
1/10/2022,0.2
10/11/2021,0.2
1/21/2022,0.2
12/29/2021,0.2
7/9/2021,0.2
1/12/2021,0.2
10/19/2021,0.2
9/14/2021,0.2
12/22/2021,0.21
1/3/2022,0.21
2/1/2021,0.21
11/13/2021,0.21
1/4/2021,0.21
3/3/2022,0.21
12/31/2020,0.21
9/14/2021,0.21
12/8/2021,0.21
1/19/2022,0.21
4/20/2021,0.21
2/26/2021,0.21
6/29/2021,0.21
3/14/2022,0.21
11/11/2021,0.21
10/14/2021,0.21
1/15/2022,0.21
11/16/2021,0.21
5/10/2021,0.22
9/30/2021,0.22
11/26/2021,0.22
10/9/2021,0.22
1/8/2022,0.22
12/9/2021,0.22
7/29/2021,0.22
1/18/2022,0.22
1/13/2022,0.22
1/13/2022,0.23
11/19/2021,0.23
7/19/2021,0.23
3/15/2022,0.23
11/6/2021,0.23
6/21/2021,0.23
8/21/2021,0.23
2/5/2022,0.23
9/22/2021,0.23
4/21/2021,0.23
11/15/2021,0.23
6/13/2021,0.23
3/5/2022,0.23
12/28/2021,0.23
11/12/2021,0.23
10/4/2021,0.23
11/9/2021,0.23
9/16/2021,0.23
2/10/2021,0.23
10/6/2021,0.24
3/24/2021,0.24
9/18/2021,0.24
7/28/2021,0.24
12/22/2021,0.24
2/18/2022,0.24
3/9/2022,0.24
2/28/2022,0.24
9/15/2021,0.25
4/16/2021,0.25
3/3/2021,0.25
11/9/2021,0.25
10/4/2021,0.25
2/16/2022,0.25
1/24/2022,0.25
8/19/2021,0.25
10/28/2021,0.25
3/4/2022,0.25
1/15/2022,0.25
9/21/2021,0.25
11/5/2021,0.26
12/16/2021,0.26
3/10/2022,0.26
1/12/2022,0.26
8/17/2021,0.26
4/30/2021,0.26
9/15/2021,0.26
8/5/2021,0.26
10/14/2021,0.26
10/12/2021,0.26
5/14/2021,0.26
3/23/2022,0.26
6/14/2021,0.26
9/19/2021,0.26
7/30/2021,0.26
2/19/2022,0.26
11/11/2021,0.26
3/16/2021,0.27
4/21/2021,0.27
3/18/2021,0.27
3/30/2022,0.27
12/22/2020,0.27
3/24/2022,0.27
1/5/2022,0.27
12/22/2021,0.27
5/5/2021,0.27
11/8/2021,0.28
6/14/2021,0.28
2/27/2021,0.28
9/22/2021,0.28
3/23/2022,0.28
3/11/2022,0.28
2/8/2022,0.28
1/11/2022,0.28
5/1/2021,0.28
3/18/2022,0.28
12/20/2021,0.28
10/16/2021,0.28
7/16/2021,0.28
8/10/2021,0.28
8/18/2021,0.28
2/22/2021,0.28
3/25/2021,0.28
10/25/2021,0.28
10/4/2021,0.29
2/10/2022,0.29
12/2/2021,0.29
4/26/2021,0.29
5/5/2021,0.29
4/23/2021,0.29
3/10/2022,0.29
6/29/2021,0.29
12/3/2021,0.29
12/15/2021,0.29
3/17/2021,0.29
2/7/2022,0.29
3/18/2021,0.3
2/18/2022,0.3
11/10/2020,0.3
2/9/2021,0.3
11/24/2021,0.3
6/24/2021,0.31
3/24/2022,0.31
1/19/2022,0.31
10/14/2021,0.31
8/13/2021,0.31
3/25/2022,0.31
12/6/2021,0.31
3/22/2022,0.31
10/10/2021,0.31
3/15/2021,0.31
1/21/2022,0.32
3/10/2022,0.32
1/14/2022,0.32
5/12/2021,0.32
5/4/2021,0.32
1/15/2022,0.32
2/25/2022,0.32
2/22/2021,0.32
11/4/2021,0.33
5/26/2021,0.33
1/20/2022,0.33
3/17/2022,0.33
11/21/2020,0.33
12/31/2021,0.33
10/19/2021,0.33
8/16/2021,0.34
9/20/2021,0.34
11/19/2021,0.34
5/8/2021,0.34
10/14/2021,0.34
3/3/2021,0.34
3/17/2022,0.34
12/20/2021,0.35
3/7/2022,0.35
9/21/2021,0.35
7/9/2021,0.35
11/15/2021,0.35
12/3/2021,0.35
3/9/2022,0.35
3/25/2021,0.35
1/25/2022,0.35
2/16/2022,0.35
3/7/2022,0.36
10/8/2021,0.36
8/13/2021,0.36
12/17/2021,0.36
12/24/2020,0.37
3/17/2022,0.37
3/25/2022,0.37
5/5/2021,0.37
12/4/2020,0.37
10/12/2021,0.37
3/10/2022,0.37
12/10/2021,0.37
12/19/2021,0.37
11/13/2021,0.38
2/15/2022,0.38
11/12/2021,0.38
9/16/2021,0.38
12/2/2020,0.38
12/23/2021,0.38
12/11/2021,0.39
12/8/2021,0.39
11/16/2021,0.39
3/24/2022,0.39
9/9/2021,0.39
11/15/2021,0.39
8/17/2021,0.4
12/27/2021,0.4
5/28/2021,0.4
4/1/2022,0.41
1/24/2022,0.41
9/14/2021,0.41
8/21/2021,0.41
11/22/2021,0.41
4/4/2022,0.41
9/29/2021,0.42
6/7/2021,0.42
3/24/2021,0.42
10/7/2021,0.43
8/13/2021,0.43
2/19/2022,0.43
1/31/2021,0.43
3/10/2022,0.43
3/19/2022,0.44
9/22/2021,0.44
6/15/2021,0.44
1/17/2022,0.44
1/13/2022,0.44
1/11/2022,0.44
1/15/2021,0.44
1/12/2022,0.44
2/9/2022,0.44
9/27/2021,0.45
4/7/2021,0.45
5/5/2021,0.45
11/16/2021,0.45
12/8/2021,0.46
8/12/2021,0.46
12/6/2021,0.47
10/26/2021,0.47
2/22/2022,0.47
1/4/2022,0.47
5/15/2021,0.48
5/6/2021,0.48
6/22/2021,0.48
11/27/2021,0.48
5/14/2021,0.48
3/21/2022,0.49
3/17/2022,0.49
8/13/2021,0.5
9/15/2021,0.51
